CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus,AgeGroup,PurchaseGrade,RecentPurchase
CUST101486,Female,40.0,Unknown,silver,5,75000.0,139800.0,3.7,2026-02-07,N,Beauty,2022-12-03,customer1486@example.com,0,40대,Low,False
CUST100113,Male,39.0,GYEONGGI,Basic,7,74400.0,159200.0,4.8,2026-04-22,N,Home,2021-07-16,customer113@example.com,1,30대,Low,True
CUST100168,Male,69.5,Gwangju,Silver,12,185800.0,1055800.0,4.5,2026-06-06,N,Beauty,2022-02-15,customer168@example.com,1,60대 이상,VIP,True
CUST101212,Male,44.0,Daegu,VIP,7,153900.0,413200.0,4.5,2026-05-07,N,Home,2021-10-27,customer1212@example.com,1,40대,High,True
CUST100312,Male,37.0,Gyeonggi,Basic,14,123700.0,576000.0,4.0,2026-04-16,n,Home,2025-11-08,customer312@example.com,1,30대,VIP,True
CUST101049,female,45.0,Gwangju,Silver,10,69300.0,123000.0,3.7,2026-04-21,Y,Fashion,2024-01-05,customer1049@example.com,0,40대,Low,True
CUST100600,Female,47.0,Daejeon,VIP,10,248412.5,1060425.0,2.6,2026-01-31,Y,Beauty,2025-01-28,customer600@example.com,1,40대,VIP,False
CUST100050,Male,26.0,Busan,Silver,3,43900.0,40700.0,4.1,2026-01-21,Y,Home,2021-07-01,customer50@example.com,0,20대,Low,False
CUST101364,Male,56.0,Daejeon,Gold,7,210800.0,443500.0,5.0,2026-06-12,Y,Food,2024-05-03,customer1364@example.com,1,50대,High,True
CUST100518,Male,42.0,Seoul,Basic,6,81700.0,70700.0,2.4,2026-03-19,N,Fashion,2023-10-13,customer518@example.com,0,40대,Low,True
CUST100037,Female,53.0,GYEONGGI,Basic,10,153900.0,629800.0,4.4,2026-02-18,N,Electronics,2024-09-05,customer37@example.com,1,50대,VIP,False
CUST101156,Male,23.0,Gyeonggi,Basic,12,67700.0,451500.0,4.2,2026-03-31,Y,Home,2022-06-12,customer1156@example.com,1,20대,High,True
CUST101054,Male,34.0,Seoul,Gold,10,123400.0,378100.0,2.7,2026-05-04,N,beauty,2021-07-04,customer1054@example.com,1,30대,High,True
CUST100375,Male,34.0,Daejeon,Basic,13,148300.0,609500.0,3.3,2026-04-24,Y,Fashion,2021-08-28,customer375@example.com,0,30대,VIP,True
CUST100673,Male,39.0,Seoul,Gold,9,130800.0,269800.0,3.6,2026-01-26,N,Sports,2022-06-06,customer673@example.com,1,30대,Medium,False
CUST100626,Male,46.0,Gyeonggi,Silver,13,135000.0,879100.0,4.4,2026-05-15,N,Food,2020-07-25,customer626@example.com,1,40대,VIP,True
CUST100747,Male,52.0,Busan,Silver,6,103800.0,209600.0,2.2,2026-05-01,Y,Home,2025-03-03,customer747@example.com,0,50대,Medium,True
CUST100629,Female,47.0,Seoul,Silver,6,95700.0,107500.0,5.0,2026-01-17,Y,Beauty,2021-04-16,customer629@example.com,0,40대,Low,False
CUST101271,Female,31.0,Seoul,Basic,13,51500.0,350700.0,4.0,2026-06-02,N,Fashion,2023-11-26,customer1271@example.com,0,30대,High,True
CUST100741,Female,46.0,Gyeonggi,Basic,8,147500.0,534600.0,4.0,2026-06-15,Y,Beauty,2025-08-12,customer741@example.com,1,40대,High,True
CUST100757,Male,37.0,Seoul,Basic,5,5000.0,10300.0,3.8,2026-06-29,N,Sports,2023-10-28,customer757@example.com,0,30대,Low,True
CUST100561,Male,44.0,Daegu,Silver,9,87400.0,194800.0,3.9,2026-05-17,N,Home,2021-06-28,customer561@example.com,0,40대,Medium,True
CUST101393,Male,53.0,Seoul,Gold,10,117500.0,448300.0,3.5,2026-06-15,N,Beauty,2025-02-28,customer1393@example.com,1,50대,High,True
CUST100140,Male,29.0,Busan,Silver,9,174700.0,378900.0,2.5,2026-02-03,Y,Electronics,2024-01-05,customer140@example.com,0,20대,High,False
CUST100883,female,43.0,Gyeonggi,Basic,7,113600.0,360500.0,3.9,2026-04-21,Y,Sports,2022-02-13,customer883@example.com,0,40대,High,True
CUST100658,Female,50.0,Seoul,Basic,4,53600.0,98500.0,3.8,2026-06-12,N,Food,2022-07-26,customer658@example.com,0,50대,Low,True
CUST100195,Female,18.0,Seoul,Basic,7,32000.0,114300.0,4.8,2026-06-12,No,Fashion,2025-11-17,customer195@example.com,0,10대 이하,Low,True
CUST100201,Male,45.0,Gyeonggi,Gold,13,222500.0,998300.0,2.7,2026-04-21,N,Home,2024-08-08,customer201@example.com,1,40대,VIP,True
CUST100803,Female,25.0,Seoul,Basic,10,114400.0,434400.0,3.4,2026-04-21,Y,Food,2020-08-18,customer803@example.com,1,20대,High,True
CUST100148,Male,57.0,Incheon,Silver,9,99600.0,207200.0,2.9,2026-05-26,N,Food,2021-04-07,customer148@example.com,0,50대,Medium,True
CUST101071,Female,56.0,Daejeon,Basic,10,87700.0,320000.0,2.4,2026-05-28,Y,Sports,2025-01-01,customer1071@example.com,0,50대,Medium,True
CUST100419,Female,20.0,Seoul,Basic,6,102300.0,225100.0,2.2,2026-06-11,N,Fashion,2023-08-19,customer419@example.com,0,20대,Medium,True
CUST100567,Other,54.0,Seoul,Basic,9,145500.0,469900.0,4.5,2026-04-21,N,Sports,2020-07-31,customer567@example.com,1,50대,High,True
CUST100783,Male,22.0,Gyeonggi,Basic,4,49700.0,42300.0,2.2,2026-03-19,No,Fashion,2024-07-22,customer783@example.com,0,20대,Low,True
CUST101360,Male,42.0,Seoul,Gold,7,137900.0,143200.0,3.1,2026-04-29,Y,Food,2023-06-07,customer1360@example.com,0,40대,Low,True
CUST101252,Male,46.0,Busan,Basic,9,97500.0,498600.0,5.0,2025-12-07,Y,Beauty,2020-08-21,customer1252@example.com,0,40대,High,False
CUST101204,Male,51.0,Seoul,Silver,7,140300.0,276100.0,2.6,2026-06-04,N,Home,2021-11-10,customer1204@example.com,0,50대,Medium,True
CUST100911,Female,25.0,Seoul,Gold,12,145900.0,642700.0,3.4,2026-06-21,N,Beauty,2023-11-16,customer911@example.com,1,20대,VIP,True
CUST100343,Female,42.0,Gyeonggi,Basic,5,23100.0,45100.0,4.1,2026-01-23,N,Fashion,2022-10-24,customer343@example.com,0,40대,Low,False
CUST100259,Male,26.0,Seoul,gold,12,112600.0,366200.0,4.1,2025-11-15,N,Food,2024-01-08,customer259@example.com,0,20대,High,False
CUST100056,Female,21.0,Seoul,Basic,10,73400.0,166300.0,4.7,2026-04-13,N,Fashion,2023-01-17,customer56@example.com,0,20대,Low,True
CUST100405,Female,41.0,Daejeon,Silver,7,110900.0,197500.0,4.2,2026-04-25,N,Beauty,2025-09-27,customer405@example.com,1,40대,Medium,True
CUST100053,Male,44.0,Busan,Basic,6,117900.0,209800.0,3.7,2026-05-31,No,Fashion,2020-08-20,customer53@example.com,1,40대,Medium,True
CUST101233,Female,44.0,Gyeonggi,Gold,8,135800.0,237800.0,4.0,2026-05-25,Y,Fashion,2022-07-03,customer1233@example.com,1,40대,Medium,True
CUST100522,Male,46.0,Gwangju,Basic,14,145600.0,660300.0,4.4,2026-02-07,Y,Fashion,2025-10-20,customer522@example.com,1,40대,VIP,False
CUST100978,Male,28.0,Daegu,Basic,14,131700.0,1060425.0,4.1,2026-03-08,N,Fashion,2022-06-24,customer978@example.com,1,20대,VIP,True
CUST100261,Male,25.0,Incheon,VIP,4,156600.0,314300.0,3.7,2026-05-20,Y,Sports,2025-05-15,customer261@example.com,1,20대,Medium,True
CUST100459,Female,47.0,Daejeon,Basic,4,5000.0,10700.0,3.8,2026-05-30,N,Home,2022-12-18,customer459@example.com,0,40대,Low,True
CUST100283,Female,38.0,Seoul,Silver,8,101300.0,363900.0,3.6,2026-04-18,N,Sports,2024-06-22,customer283@example.com,0,30대,High,True
CUST100599,Male,29.0,Daegu,VIP,10,241900.0,645200.0,3.6,2026-04-21,N,Food,2021-12-31,customer599@example.com,1,20대,VIP,True
CUST100888,Female,54.0,Busan,Silver,8,195400.0,858800.0,3.4,2026-05-12,N,Electronics,2024-12-14,customer888@example.com,1,50대,VIP,True
CUST101370,Male,38.0,GYEONGGI,Unknown,13,190800.0,1060425.0,3.3,2026-03-09,N,Electronics,2025-05-15,customer1370@example.com,1,30대,VIP,True
CUST100554,Female,49.0,Gyeonggi,Silver,12,116900.0,378300.0,3.2,2026-01-02,Y,Electronics,2021-06-10,customer554@example.com,0,40대,High,False
CUST100848,FEMALE,27.0,Gwangju,VIP,16,248412.5,1060425.0,4.3,2026-04-28,Y,Beauty,2020-10-06,customer848@example.com,1,20대,VIP,True
CUST101052,Male,47.0,Gwangju,Gold,5,136500.0,408100.0,2.4,2026-05-18,Y,Home,2022-04-02,customer1052@example.com,1,40대,High,True
CUST100127,Female,39.0,Daegu,Basic,6,13700.0,28100.0,2.8,2026-04-30,N,Home,2023-09-26,customer127@example.com,0,30대,Low,True
CUST100311,Female,46.0,Busan,Basic,7,108700.0,319900.0,5.0,2026-04-22,N,Food,2020-11-13,customer311@example.com,0,40대,Medium,True
CUST100828,Female,50.0,Incheon,Basic,15,112500.0,810200.0,4.2,2026-04-23,Y,Fashion,2021-07-29,customer828@example.com,1,50대,VIP,True
CUST100425,Male,22.0,Gyeonggi,Basic,10,103200.0,228800.0,4.9,2026-06-20,N,Sports,2025-03-30,customer425@example.com,1,20대,Medium,True
CUST101257,Male,43.0,Gwangju,Basic,13,154600.0,452600.0,3.2,2026-04-04,No,Fashion,2023-04-09,customer1257@example.com,1,40대,High,True
CUST100520,Male,43.0,Gwangju,Basic,9,96100.0,337200.0,3.2,2026-04-29,Y,Home,2022-08-11,customer520@example.com,1,40대,High,True
CUST101042,Male,27.0,Incheon,Basic,10,95800.0,322600.0,3.9,2025-11-30,N,Food,2025-12-04,customer1042@example.com,1,20대,Medium,False
CUST100115,Male,51.0,Gyeonggi,Silver,7,116900.0,475900.0,4.8,2026-05-23,Y,Sports,2023-01-26,customer115@example.com,1,50대,High,True
CUST100966,Female,40.0,Busan,Basic,4,86500.0,156000.0,3.1,2026-05-25,N,Food,2022-02-13,customer966@example.com,0,40대,Low,True
CUST100898,Male,39.0,Seoul,Silver,6,51300.0,159700.0,2.7,2026-06-22,N,Fashion,2020-07-21,customer898@example.com,0,30대,Low,True
CUST100865,Other,39.0,Gyeonggi,VIP,9,209200.0,445200.0,3.4,2026-04-08,Y,Sports,2025-03-17,customer865@example.com,1,30대,High,True
CUST100158,Male,37.0,Seoul,VIP,10,213600.0,597100.0,3.9,2026-02-06,N,Food,2024-07-09,customer158@example.com,1,30대,VIP,False
CUST100480,Male,50.0,Seoul,Basic,6,87600.0,89000.0,4.3,2026-05-03,N,Beauty,2024-05-02,customer480@example.com,0,50대,Low,True
CUST100734,Male,39.0,Gyeonggi,Silver,9,110000.0,245700.0,3.3,2026-03-29,N,Home,2023-09-23,customer734@example.com,0,30대,Medium,True
CUST101379,Male,62.0,Busan,Basic,7,45100.0,97400.0,4.2,2026-04-19,N,Sports,2025-06-24,customer1379@example.com,0,60대 이상,Low,True
CUST100206,Male,27.0,Gyeonggi,Silver,14,132800.0,628300.0,3.6,2026-04-11,Y,Sports,2024-05-18,customer206@example.com,0,20대,VIP,True
CUST101293,Female,43.0,Busan,Basic,5,172000.0,483700.0,4.1,2026-05-11,Y,Electronics,2024-02-12,customer1293@example.com,1,40대,High,True
CUST100042,Female,44.0,Seoul,Silver,5,131000.0,288900.0,2.7,2026-04-20,N,Fashion,2022-10-15,customer42@example.com,0,40대,Medium,True
CUST100252,Male,46.0,Gyeonggi,Basic,7,117500.0,231400.0,4.2,2026-04-04,Y,Fashion,2024-12-29,customer252@example.com,1,40대,Medium,True
CUST100411,male,24.0,Gyeonggi,Gold,10,155700.0,276800.0,3.6,2026-04-17,Y,Sports,2022-03-31,customer411@example.com,1,20대,Medium,True
